18,\begin{vmatrix} u = t & \frac{dv}{dt} = e^t\\  \frac{du}{dt} = 1 & v = e^t\end{vmatrix},
18,\begin{vmatrix} u = sin(lnx) & \frac{dv}{dt} = 1\\  \frac{du}{dt} = \frac{1}{x}cos(lnx) & v = x \end{vmatrix},
18,\begin{vmatrix} u = cos(lnx) & \frac{dv}{dt} = 1\\  \frac{du}{dt} = -\frac{1}{x} sin(lnx) & v = x \end{vmatrix},
18,xsin(lnx) - xcos(lnx) - \int sin(lnx)dx,
18,\frac{1}{tlnt}dt,
19,\frac{1}{8}x + \frac{1}{32}sin4x + c,
19,\begin{vmatrix} u = t & \frac{dv}{dt} = e^t\\  \frac{du}{dt} = 1 & v = e^t\end{vmatrix},
19,xsin(lnx) - \int cos(lnx)dx,
19,\int \frac{1}{u}du,
19,\frac{1}{t^2 + 1}dt,
20,\frac{1}{8} \int (1 - cos4x)dx ,
20,\begin{vmatrix} u = t & \frac{dv}{dt} = e^t\\  \frac{du}{dt} = 1 & v = e^t\end{vmatrix},
20,te^t - \int e^t,
20,\begin{vmatrix} u = lnt \\ du = \frac{1}{t}dt \end{vmatrix},
20,\int \frac{e^x}{e^{2x}+1}dx,
21,te^t - e^t + c,
21,\begin{vmatrix} u = cos(lnx) & \frac{dv}{dt} = 1\\  \frac{du}{dt} = -\frac{1}{x} sin(lnx) & v = x \end{vmatrix},
21,\int \frac{cosx}{ln(sinx)sinx}dx ,
21,\int \frac{1}{u}du,
21,lnu + c,
22,\begin{vmatrix} t = \sqrt{x}\\  dt = \frac{1}{2\sqrt{x}}dx\\ dx = 2tdt \end{vmatrix},
22,\int \frac{cosx}{ln(sinx)sinx}dx ,
22,\begin{vmatrix} t = 1 - x^2 \\ dt = -2xdx \\ -\frac{1}{2}dt = xdx \end{vmatrix},
22,xarcsinx + \int \frac{1}{2\sqrt{t}}dt,
22,xarcsinx + \sqrt{1-x^2} + c,
23,2\int te^t dt ,
23,\frac{1}{tlnt}dt,
23,\int \frac{1}{u}du,
23,ln(ln(sinx)) + c,
23,\begin{vmatrix} t = 1 - x^2 \\ dt = -2xdx \\ -\frac{1}{2}dt = xdx \end{vmatrix},
