0,1,
0,x + c,
0,x,
1,ax,
1,a,
1,a + c,
2,x^{r+1} + c,
2,x^r + c,
2,\frac{x^{r+1}}{r} + c,
3,c,
3,x + c,
3,\frac{-1}{x} + c,
4,a^x + c,
4,a^x lna + c,
4,a^{x+1} + c,
5,e^{x+1} + c,
5,cosx,
5,sinx,
6,cosx + c,
6,\frac{1}{sinx} + c,
6,\frac{1}{cosx} + c,
7,-sinx + c,
7,cos^{-1}x,
7,arcsinx,
8,ctgx + c,
8,\frac{1}{cosx} + c,
8,\frac{1}{sinx} + c,
9,-tgx + c,
9,\frac{1}{sinx} + c,
9,arcsinx,
10,ln(x^2+1) + c,
10,\frac{1}{x+1} + c,
10,\frac{ln(x^2+1)}{x} + c,
11,arccosx + c,
11,arctgx + c,
11,arcctgx + c,
