12,\begin{vmatrix} t = -x^2\\  dt = -2xdx\\ xdx = -\frac{dt}{2} \end{vmatrix},
12,\begin{vmatrix} t = cosx \\ dt = -sinxdx \end{vmatrix},
12,-lnt + c,
12,\int \frac{1}{t}dt,
12,-xcosx + sinx + c,
13,-\frac{1}{2} \int e^t dt,
13,-\frac{1}{2} \int \sqrt{t} dt,
13,-xe^{-x} + \int e^{-x}dx,
13,ln(lnx) + c,
13,-xcosx + \int cosxdx,
14,-\frac{1}{2}e^t + c,
14,-xe^{-x} - e^{-x} + c,
14,-\int \frac{1}{t}dt,
14,lnt + c,
14,-xcosx + \int cosxdx,
15,-\frac{1}{2}e^t + c,
15,-\frac{1}{2}e^{-x^2} + c,
15,-\frac{1}{3} t^{\frac{3}{2}} + c,
15,-\frac{1}{3} \sqrt{a^2 - x^2}^3,
15,\int \frac{sinx}{cosx}dx,
16,-\frac{1}{2}e^{-x^2} + c,
16,-\frac{1}{2} \int \sqrt{t} dt,
16,-\frac{1}{3} \sqrt{a^2 - x^2}^3,
16,-ln(cosx) + c,
16,-xcosx + \int cosxdx,
17,\begin{vmatrix} t = -x^2\\  dt = -2xdx\\ xdx = -\frac{dt}{2} \end{vmatrix},
17,-ln(cosx) + c,
17,\int \frac{1}{t}dt,
17,lnt + c,
17,-xcosx + sinx + c,
