18,\begin{vmatrix} t = \sqrt{x}\\  dt = \frac{1}{2\sqrt{x}}dx\\ dx = 2tdt \end{vmatrix},1,
18,2\int te^t dt ,2,
18,\begin{vmatrix} u = t & \frac{dv}{dt} = e^t\\  \frac{du}{dt} = 1 & v = e^t\end{vmatrix},3,
18,te^t - \int e^t,4,
18,te^t - e^t + c,5,
18,\sqrt{x}e^{\sqrt{x}} - e^{\sqrt{x}} + c,6,
19,\begin{vmatrix} u = sin(lnx) & \frac{dv}{dt} = 1\\  \frac{du}{dt} = \frac{1}{x}cos(lnx) & v = x \end{vmatrix},1,
19,xsin(lnx) - \int cos(lnx)dx,2,
19,\begin{vmatrix} u = cos(lnx) & \frac{dv}{dt} = 1\\  \frac{du}{dt} = -\frac{1}{x} sin(lnx) & v = x \end{vmatrix},3,
19,xsin(lnx) - xcos(lnx) - \int sin(lnx)dx,4,
19,\frac{1}{2}x(sin(lnx) - cos(lnx)) + c,5,
20,\int \frac{cosx}{ln(sinx)sinx}dx ,1,
20,\begin{vmatrix} t = sinx \\ dt = cosxdx  \end{vmatrix},2,
20,\frac{1}{tlnt}dt,3,
20,\begin{vmatrix} u = lnt \\ du = \frac{1}{t}dt \end{vmatrix},4,
20,\int \frac{1}{u}du,5,
20,lnu + c,6,
20,ln(ln(sinx)) + c,7,
21,\int \frac{e^x}{e^{2x}+1}dx,1,
21,\begin{vmatrix} t = e^x \\  dt = e^xdx \end{vmatrix},2,
21,\frac{1}{t^2 + 1}dt,3,
21,arctgt + c,4,
21,arctg(e^x) + c,5,
22,\begin{vmatrix} u = arcsinx & \frac{dv}{dt} = 1 \\  \frac{du}{dt} = \frac{1}{\sqrt{1 - x^2}} & v = x \end{vmatrix},1,
22,xarcsinx - \int \frac{x}{\sqrt{1-x^2}},2,
22,\begin{vmatrix} t = 1 - x^2 \\ dt = -2xdx \\ -\frac{1}{2}dt = xdx \end{vmatrix},3,
22,xarcsinx + \int \frac{1}{2\sqrt{t}}dt,4,
22,xarcsinx + \sqrt{t} + c,5,
22,xarcsinx + \sqrt{1-x^2} + c,6,
23,\int \frac{1}{2}(1-cos2x)\cdot\frac{1}{2}(1+cos2x)dx,1,
23,\frac{1}{4}(1 - cos^2 2x)dx,2,
23,\frac{1}{4} \int sin^2 2xdx ,3,
23,\frac{1}{8} \int (1 - cos4x)dx ,4,
23,\frac{1}{8}x + \frac{1}{32}sin4x + c,5,
